# Matriz de correspondencia de IDs nativas — v5009 → v5009-V20

**Uso:** refactor mecánico. Columna `old` es el ID nativa vigente en el código backend actual. Columna `new` es el ID nativa con la directriz V20 (inglés camelCase). Columna `visible` es el nombre en español que se muestra en CMS/UI.

**Leyenda tipo:** `SYS` = system auto · `TXT` = Text · `NUM` = Number · `BOOL` = Boolean · `DATE` = Date · `DT` = DateTime · `OBJ` = Object · `ARR` = Array · `URL` = URL · `ENUM` = Text con valores fijos.

---

## 1. `DatosFiscales`

| # | old (español) | new (inglés V20) | visible (español) | tipo |
|---|---|---|---|---|
| 1 | `_id` | `_id` | id | SYS |
| 2 | `_createdDate` | `_createdDate` | fechaCreacion | SYS |
| 3 | `_updatedDate` | `_updatedDate` | fechaActualizacion | SYS |
| 4 | `_owner` | `_owner` | propietario | SYS |
| 5 | `nifCif` | `taxId` | nifCif | TXT |
| 6 | `razonSocial` | `legalName` | razonSocial | TXT |
| 7 | `tipoTercero` | `thirdPartyType` | tipoTercero | ENUM |
| 8 | `datosContacto` | `contactData` | datosContacto | OBJ |
| 9 | `regimenesEspeciales` | `specialRegimes` | regimenesEspeciales | OBJ |
| 10 | `esMinoristaRecargoEquivalencia` | `isRetailerEquivalenceSurcharge` | esMinoristaRecargoEquivalencia | BOOL |
| 11 | `esEmpresarioProfesional` | `isBusinessProfessional` | esEmpresarioProfesional | BOOL |
| 12 | `resourceIdBookings` | `bookingsResourceId` | recursoIdReservas | TXT |
| 13 | `staffMemberId` | `staffMemberId` | personalMiembroId | TXT |
| 14 | `esProveedorHabitual` | `isRegularSupplier` | esProveedorHabitual | BOOL |
| 15 | `condicionesPago` | `paymentTerms` | condicionesPago | OBJ |
| 16 | `activo` | `active` | activo | BOOL |
| 17 | `traceIdAlta` | `registrationTraceId` | trazaIdAlta | TXT |
| 18 | `sistemaInformatico` | `computerSystem` | sistemaInformatico | OBJ |
| 19 | `nifProductor` | `producerTaxId` | nifProductor | TXT |
| 20 | `nombreRazonProductor` | `producerLegalName` | nombreRazonProductor | TXT |
| 21 | `idSistemaInformatico` | `computerSystemId` | idSistemaInformatico | TXT |
| 22 | `version` | `version` | version | TXT |
| 23 | `numeroInstalacion` | `installationNumber` | numeroInstalacion | TXT |
| 24 | `tipoUsoPosibleSoloVerifactu` | `possibleUseOnlyVerifactu` | tipoUsoPosibleSoloVerifactu | ENUM |
| 25 | `tipoUsoPosibleMultiOT` | `possibleUseMultiOT` | tipoUsoPosibleMultiOT | ENUM |
| 26 | `indicadorMultiplesOT` | `multipleOTIndicator` | indicadorMultiplesOT | ENUM |
| 27 | `fechaInicioVerifactu` | `verifactuStartDate` | fechaInicioVerifactu | DATE |

---

## 2. `MapaStaff`

| # | old | new | visible | tipo |
|---|---|---|---|---|
| 1 | `_id` | `_id` | id | SYS |
| 2 | `staffMemberId` | `staffMemberId` | personalMiembroId | TXT |
| 3 | `resourceId` | `resourceId` | recursoId | TXT |
| 4 | `nombre` | `name` | nombre | TXT |
| 5 | `terceroId` | `thirdPartyId` | terceroId | TXT |

---

## 3. `ServiciosCatalogo`

| # | old | new | visible | tipo |
|---|---|---|---|---|
| 1 | `_id` | `_id` | id | SYS |
| 2 | `_createdDate` | `_createdDate` | fechaCreacion | SYS |
| 3 | `_updatedDate` | `_updatedDate` | fechaActualizacion | SYS |
| 4 | `_owner` | `_owner` | propietario | SYS |
| 5 | `serviceId` | `serviceId` | servicioId | TXT |
| 6 | `slugUrl` | `slugUrl` | slugUrl | TXT |
| 7 | `title` | `title` | titulo | TXT |
| 8 | `price` | `price` | precio | NUM |
| 9 | `currency` | `currency` | moneda | TXT |
| 10 | `sku` | `sku` | sku | TXT |
| 11 | `allowCombine` | `allowCombine` | permitirCombinar | BOOL |
| 12 | `linkedPhases` | `linkedPhases` | enlazadaFases | TXT |
| 13 | `phase1Duration` | `phase1Duration` | fase1Duracion | NUM |
| 14 | `phase2Duration` | `phase2Duration` | fase2Duracion | NUM |
| 15 | `exposureDuration` | `exposureDuration` | exposicionDuracion | NUM |
| 16 | `totalDuration` | `totalDuration` | totalDuracion | NUM |
| 17 | `durationRange` | `durationRange` | duracionRango | OBJ |
| 18 | `availableStaff` | `availableStaff` | disponiblePersonal | TXT |
| 19 | `addOnOptions` | `addOnOptions` | complementoOpciones | ARR |
| 20 | `hidden` | `hidden` | oculto | BOOL |
| 21 | `taxIncluded` | `taxIncluded` | impuestoIncluido | BOOL |
| 22 | `taxRate` | `taxRate` | impuestoTasa | NUM |
| 23 | `naturalezaItem` | `itemNature` | naturalezaItem | ENUM |
| 24 | `codigoImpuesto` | `taxCode` | codigoImpuesto | ENUM |
| 25 | `claveRegimenAEAT` | `aeatRegimeKey` | claveRegimenAEAT | ENUM |
| 26 | `calificacionOperacionAEAT` | `aeatOperationClassification` | calificacionOperacionAEAT | ENUM |
| 27 | `operacionExentaAEAT` | `aeatExemptOperation` | operacionExentaAEAT | ENUM |
| 28 | `inversionSujetoPasivo` | `reverseCharge` | inversionSujetoPasivo | BOOL |
| 29 | `cuentaContableIngreso` | `incomeAccountCode` | cuentaContableIngreso | TXT |
| 30 | `cuentaContableGasto` | `expenseAccountCode` | cuentaContableGasto | TXT |
| 31 | `activo` | `active` | activo | BOOL |

---

## 4. `ComplementosCatalogo`

| # | old | new | visible | tipo |
|---|---|---|---|---|
| 1 | `_id` | `_id` | id | SYS |
| 2 | `codigoImpuesto` | `taxCode` | codigoImpuesto | ENUM |
| 3 | `claveRegimenAEAT` | `aeatRegimeKey` | claveRegimenAEAT | TXT |
| 4 | `cuentaContableIngreso` | `incomeAccountCode` | cuentaContableIngreso | TXT |
| 5 | `naturalezaItem` | `itemNature` | naturalezaItem | ENUM |

---

## 5. `MovimientosCaja`

| # | old | new | visible | tipo |
|---|---|---|---|---|
| 1 | `_id` | `_id` | id | SYS |
| 2 | `_createdDate` | `_createdDate` | fechaCreacion | SYS |
| 3 | `_updatedDate` | `_updatedDate` | fechaActualizacion | SYS |
| 4 | `_owner` | `_owner` | propietario | SYS |
| 5 | `amount` | `amount` | importeTotalLegacy | NUM |
| 6 | `importeTotal` | `totalAmount` | importeTotal | NUM |
| 7 | `paymentMethod` | `paymentMethod` | medioCobro | ENUM |
| 8 | `tipoMovimiento` | `movementType` | tipoMovimiento | ENUM |
| 9 | `concept` | `concept` | descripcionOperacionLegacy | TXT |
| 10 | `descripcionOperacion` | `operationDescription` | descripcionOperacion | TXT |
| 11 | `resourceId` | `resourceId` | recursoId | TXT |
| 12 | `staffResourceId` | `staffResourceId` | personalRecursoId | TXT |
| 13 | `channelType` | `channelType` | canalTipo | ENUM |
| 14 | `reservaIdVinculada` | `linkedBookingIds` | reservaIdVinculada | TXT |
| 15 | `transactionId` | `transactionId` | transaccionId | TXT |
| 16 | `orderId` | `orderId` | pedidoId | TXT |
| 17 | `schemaVersion` | `schemaVersion` | esquemaVersion | TXT |
| 18 | `hash` | `hash` | huellaLegacy | TXT |
| 19 | `huella` | `recordHash` | huella | TXT |
| 20 | `prevHash` | `prevHash` | huellaAnteriorLegacy | TXT |
| 21 | `huellaAnterior` | `previousRecordHash` | huellaAnterior | TXT |
| 22 | `registeredAt` | `registeredAt` | fechaHoraHusoGenRegistroLegacy | DT |
| 23 | `fechaHoraHusoGenRegistro` | `recordTimestamp` | fechaHoraHusoGenRegistro | TXT |
| 24 | `generationTimestamp` | `generationTimestamp` | generationTimestamp | OBJ |
| 25 | `numSerieFactura` | `invoiceNumber` | numSerieFactura | TXT |
| 26 | `fechaExpedicionFactura` | `invoiceIssueDate` | fechaExpedicionFactura | DATE |
| 27 | `fechaOperacion` | `operationDate` | fechaOperacion | DATE |
| 28 | `tipoFactura` | `invoiceType` | tipoFactura | ENUM |
| 29 | `tipoRectificativa` | `correctionType` | tipoRectificativa | ENUM |
| 30 | `importeRectificacion` | `correctionAmount` | importeRectificacion | OBJ |
